snapped_at,volume
2025-05-11 10:30:00 +0000,2943579091.3467953427288186638026944
2025-05-12 10:30:00 +0000,3437747891.50022654804822628809371602
2025-05-13 10:30:00 +0000,4385565283.93667609931595656397085196
2025-05-14 10:30:00 +0000,4100876538.7474124077143675801668184
2025-05-15 10:30:00 +0000,3037087157.31879858464865864992945552
2025-05-16 10:30:00 +0000,3353624541.96813936260086434144134608
2025-05-17 10:30:00 +0000,2179997010.39570583022843655833930916
2025-05-18 10:30:00 +0000,1280122188.33826274797830490399531617
2025-05-19 10:30:00 +0000,3037148063.23469543078389016922164586
2025-05-20 10:30:00 +0000,2785984352.55486632652842073243562912
2025-05-21 10:30:00 +0000,2963799864.24008718848960714710997988
2025-05-22 10:30:00 +0000,5029356263.459063836328393248128542
2025-05-23 10:30:00 +0000,3753744643.06766310048022073113923538
2025-05-24 10:30:00 +0000,3279632309.9902305903539875676152761
2025-05-25 10:30:00 +0000,1206388698.1977597564453723195800481
2025-05-26 10:30:00 +0000,1679428545.12546429520237304308689646
2025-05-27 10:30:00 +0000,1814351532.0391363453231133159870586
2025-05-28 10:30:00 +0000,2518816039.15909798922944242635004224
2025-05-29 10:30:00 +0000,2560302712.41612429044121435843011237
2025-05-30 10:30:00 +0000,2962974317.1035746836626107280124601
2025-05-31 10:30:00 +0000,2467478058.10983700576838280531347052
2025-06-01 10:30:00 +0000,1105956042.96202123206080788910563248
2025-06-02 10:30:00 +0000,1241840922.2326664074484307330985189
2025-06-03 10:30:00 +0000,2076167038.3979955503681881064765729
2025-06-04 10:30:00 +0000,1926510050.21420111346205033664895609
2025-06-05 10:30:00 +0000,1667810307.53991721058644500826670496
2025-06-06 10:30:00 +0000,3283420090.35187356680814839166613888
2025-06-07 10:30:00 +0000,1977268057.36544796932712865158713282
2025-06-08 10:30:00 +0000,764730102.29281161641503069937503443
2025-06-09 10:30:00 +0000,1033821889.88855792726001198822530304
2025-06-10 10:30:00 +0000,2342426889.3484385538328990218778877
2025-06-11 10:30:00 +0000,2496126266.26828005922487190667679504
2025-06-12 10:30:00 +0000,2196290524.66386296087140208047681209
2025-06-13 10:30:00 +0000,3231464128.69117564285161412957143024
2025-06-14 10:30:00 +0000,1767155338.76918519025078593403036313
2025-06-15 10:30:00 +0000,899757873.45443993306442156754122422
2025-06-16 10:30:00 +0000,1256124868.49205281426773858222549858
2025-06-17 10:30:00 +0000,2450038866.035298586831880827053201
2025-06-18 10:30:00 +0000,2096411112.2981695760079219321151729
2025-06-19 10:30:00 +0000,1706930012.8520929113895443019727617
2025-06-20 10:30:00 +0000,1145274725.1967810166981198800293368
2025-06-21 10:30:00 +0000,1727464504.93234667184121696505298048
2025-06-22 10:30:00 +0000,1840435623.74540020505516895261924866
2025-06-23 10:30:00 +0000,2744709364.94351843822455802671777259
2025-06-24 10:30:00 +0000,3393732921.95114481836356962037765005
2025-06-25 10:30:00 +0000,1904567608.8358447128292477236621422
2025-06-26 10:30:00 +0000,2113164708.23849000469792216632719368
2025-06-27 10:30:00 +0000,1866837617.887072868322501762009659
